ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
6671,Vina Suteja,Mechanical Engineering,2021,Mechanical Systems Designer,Traveloka,"Hydraulics, Finite Element Analysis, AutoCAD",Engine Performance Test,OSHA 30-Hour Training,pufa_engineering | pumun | debate_club,karir di bidang mechanical systems designer dengan latar belakang pendidikan mechanical engineering dan aktif di pufa engineering   pumun   debate club
6672,Budi Suteja,Management,2019,HR Specialist,Michael Page,"Strategic Planning, Performance Management, Payroll Administration",Market Entry Strategy,Lean Six Sigma Yellow Belt,puma_management | pufa_business | fpci,alumni jurusan management berkarir sebagai hr specialist di michael page  ahli dalam strategic planning  performance management  payroll administration
6673,Agus Sari,Industrial Engineering,2020,Production Planner,Dentsu,"Six Sigma, System Modeling, Lean Manufacturing",Value Stream Mapping,"Lean Six Sigma Green Belt, CSCP (Certified Supply Chain Professional)",puma_industrial_engineering | pufa_engineering,karir di bidang production planner dengan latar belakang pendidikan industrial engineering dan aktif di puma industrial engineering   pufa engineering
6674,Imam Pasaribu,Actuarial Science,2016,Pension Actuary,Shopee,"Probability Theory, Financial Math, R Programming",Solvency Risk Assessment,"R for Data Science, SOA Exam P (Probability)",puma_actuarial_science,karir di bidang pension actuary dengan latar belakang pendidikan actuarial science dan aktif di puma actuarial science
6675,Kartika Ramadhan,Actuarial Science,2019,Pricing Specialist,Edelman,"Financial Math, Statistics, Data Analysis",Time Series Forecasting,"SOA Exam FM (Financial Mathematics), SOA Exam P (Probability)",pufa_business | purtc,profesional actuarial science dengan spesialisasi financial math  statistics  data analysis dan pengalaman proyek time series forecasting
6676,Imam Mahendra,Communication,2019,Public Affairs Specialist,Telkomsel,"Storytelling, Content Strategy, Crisis Management",Multimedia Production Series,Public Relations Society of America (PRSA),pufa_social_science_and_education | aiesec | purtc,alumni jurusan communication berkarir sebagai public affairs specialist di telkomsel  ahli dalam storytelling  content strategy  crisis management
6677,Tia Manullang,Civil Engineering,2019,Geotechnical Consultant,Mayora,"Structural Analysis, Construction Safety, AutoCAD Civil 3D",High-Rise Building Design,"Revit Structure Fundamentals, LEED Green Associate",puma_civil_engineering,karir di bidang geotechnical consultant dengan latar belakang pendidikan civil engineering dan aktif di puma civil engineering
6678,Imam Suteja,Marketing,2021,Marketing Data Analyst,Gojek Marketing,"Social Media Marketing, Data Visualization, A/B Testing",SEO Audit and Strategy,"Google Ads, Meta Certified Digital Marketing Associate",puma_marketing,karir di bidang marketing data analyst dengan latar belakang pendidikan marketing dan aktif di puma marketing
6679,Rina Lestari,Actuarial Science,2019,Actuary Trainee,Traveloka,"Statistics, Data Analysis, Financial Math",Investment Portfolio Modeling,"SOA Exam P (Probability), Professional Risk Manager (PRM)",pufa_business | purtc,seorang actuary trainee lulusan actuarial science dengan pengalaman di traveloka dan sertifikasi soa exam p  probability   professional risk manager  prm
6680,Indah Hakim,International Relations,2018,Diplomat,Ruangguru,"Public Policy, Geopolitics, Cross-Cultural Communication",Trade Agreement Impact Analysis,International Law and Diplomacy,pufa_social_science_and_education | pusc,alumni jurusan international relations berkarir sebagai diplomat di ruangguru  ahli dalam public policy  geopolitics  cross cultural communication
6681,Joko Hakim,Financial Engineering,2019,Quantitative Analyst,Shopee,"C++, Stochastic Calculus, Python",Option Pricing Model,Bloomberg Market Concepts,pufa_business,karir di bidang quantitative analyst dengan latar belakang pendidikan financial engineering dan aktif di pufa business
6682,Citra Permana,Visual Communication Design,2023,Art Director,Shopee,"Illustration, Adobe Creative Suite, Visual Branding",Marketing Visual Assets,Google UX Design,puma_visual_communication_design,profesional visual communication design dengan spesialisasi illustration  adobe creative suite  visual branding dan pengalaman proyek marketing visual assets
6683,Imam Sari,Communication,2018,Content Creator,Unilever,"Copywriting, Video Editing, Content Strategy",Internal Communication Audit,Meta Certified Professional,puma_communication,seorang content creator lulusan communication dengan pengalaman di unilever dan sertifikasi meta certified professional
6684,Indah Suteja,Management,2015,HR Specialist,Robert Walters,"Employee Relations, Payroll Administration, Talent Management",Market Entry Strategy,"LinkedIn Recruiter Certification, Lean Six Sigma Yellow Belt",puma_management | aiesec,alumni jurusan management berkarir sebagai hr specialist di robert walters  ahli dalam employee relations  payroll administration  talent management
6685,Hani Ramadhan,Primary School Teacher Education,2023,School Counselor,Ruangguru,"Teaching Methods, Counseling, Pedagogy",School Anti-Bullying Program,"Child Protection Training, Educational Leadership Certificate",pufa_social_science_and_education | accounting_club | pusc,seorang school counselor lulusan primary school teacher education dengan pengalaman di ruangguru dan sertifikasi child protection training  educational leadership certificate
6686,Imam Permana,Primary School Teacher Education,2022,Education Administrator,Binus School,"Teaching Methods, Counseling, Lesson Planning",School Anti-Bullying Program,Child Protection Training,fpci,alumni jurusan primary school teacher education berkarir sebagai education administrator di binus school  ahli dalam teaching methods  counseling  lesson planning
6687,Rina Utama,Environmental Engineering,2019,HSR Manager,Ruangguru,"Compliance, EIA (Environmental Impact Assessment), Water Treatment",Carbon Footprint Analysis,NEBOSH International Certificate,pufa_engineering | fpci | moot_court,karir di bidang hsr manager dengan latar belakang pendidikan environmental engineering dan aktif di pufa engineering   fpci   moot court
6688,Agus Anggraini,Primary School Teacher Education,2016,Curriculum Developer,Schneider Electric,"Classroom Management, Child Psychology, Educational Leadership",Digital Learning Module Creation,"TEFL/TESOL, Educational Leadership Certificate",pufa_social_science_and_education | pudc | fpci,seorang curriculum developer lulusan primary school teacher education dengan pengalaman di schneider electric dan sertifikasi tefl tesol  educational leadership certificate
6689,Fitri Suteja,Creative Media,2020,Scriptwriter,Unilever,"Storytelling, Scriptwriting, Cinematography",Podcast Series Production,Adobe Premiere Pro Certified,pufa_social_science_and_education | puma_creative_media,alumni jurusan creative media berkarir sebagai scriptwriter di unilever  ahli dalam storytelling  scriptwriting  cinematography
6690,Zara Lestari,Creative Media,2022,Film Producer,Gojek Marketing,"Animation, Sound Design, Adobe Premiere Pro",Short Film Production,"Cinematography Fundamentals, DaVinci Resolve Color Grading",pufa_social_science_and_education | pumun,alumni jurusan creative media berkarir sebagai film producer di gojek marketing  ahli dalam animation  sound design  adobe premiere pro
6691,Mega Utama,Information Technology,2023,Cybersecurity Analyst,Djarum,"React, SQL, JavaScript",Personal Portfolio Website,"Certified ScrumMaster (CSM), Cisco Certified Network Associate (CCNA)",puma_information_technology | pufa_computer_science | purtc,karir di bidang cybersecurity analyst dengan latar belakang pendidikan information technology dan aktif di puma information technology   pufa computer science   purtc
6692,Nisa Mahendra,Mechanical Engineering,2015,Maintenance Engineer,Google Indonesia,"Thermodynamics, Hydraulics, CATIA",Product Design Optimization,"SolidWorks Professional, Six Sigma Yellow Belt",pufa_engineering | debate_club,karir di bidang maintenance engineer dengan latar belakang pendidikan mechanical engineering dan aktif di pufa engineering   debate club
6693,Rina Manullang,Business Administration,2018,Startup Manager,Djarum,"Entrepreneurship, Market Analysis, Financial Analysis",Startup Business Plan,"CAPM, Salesforce Administrator",puma_business_administration | fpci,alumni jurusan business administration berkarir sebagai startup manager di djarum  ahli dalam entrepreneurship  market analysis  financial analysis
6694,Budi Sihombing,Applied Mathematics,2022,Cryptographer,Djarum,"Optimization, Modeling, Python/R",Time Series Forecasting,"Data Science Professional Certificate, Advanced Statistics",pudc | pufa_computer_science | aiesec,profesional applied mathematics dengan spesialisasi optimization  modeling  python r dan pengalaman proyek time series forecasting
6695,Fitri Pasaribu,Civil Engineering,2015,Transportation Engineer,Astra International,"BIM (Revit), Structural Analysis, Estimation",Foundation Stability Analysis,OSHA 30-Hour Construction,puma_civil_engineering | aiesec,seorang transportation engineer lulusan civil engineering dengan pengalaman di astra international dan sertifikasi osha 30 hour construction
6696,Eko Lestari,Management,2020,HR Business Partner,Unilever HR,"Recruiting, Strategic Planning, Talent Management",HR Policy Review,PHR (Professional in Human Resources),puma_management,alumni jurusan management berkarir sebagai hr business partner di unilever hr  ahli dalam recruiting  strategic planning  talent management
6697,Vina Hakim,Electrical Engineering,2019,Power System Engineer,Google Indonesia,"Microcontroller Programming, SCADA, PCB Design",Smart Home System,MATLAB Proficiency,puma_electrical_engineering | moot_court | purtc,seorang power system engineer lulusan electrical engineering dengan pengalaman di google indonesia dan sertifikasi matlab proficiency
6698,Mega Lestari,Industrial Engineering,2017,Process Improvement Consultant,Unilever,"Lean Manufacturing, Six Sigma, Simulation (Arena)",Value Stream Mapping,"Certified Quality Engineer (CQE), CSCP (Certified Supply Chain Professional)",pufa_engineering | pudc,alumni jurusan industrial engineering berkarir sebagai process improvement consultant di unilever  ahli dalam lean manufacturing  six sigma  simulation  arena
6699,Siti Saputra,International Relations,2016,NGO Program Officer,Ogilvy Indonesia,"Geopolitics, Negotiation, Diplomacy",Diplomatic Protocol Handbook,"Project Management for Development (PMD Pro), International Law and Diplomacy",puma_international_relations | pufa_social_science_and_education | pumun,alumni jurusan international relations berkarir sebagai ngo program officer di ogilvy indonesia  ahli dalam geopolitics  negotiation  diplomacy
6700,Siti Hakim,Mechanical Engineering,2022,Maintenance Engineer,Astra International,"Supply Chain Optimization, Prototyping, Hydraulics",Manufacturing Process Improvement,"FEA Software Proficiency, OSHA 30-Hour Training",aiesec | pumun,seorang maintenance engineer lulusan mechanical engineering dengan pengalaman di astra international dan sertifikasi fea software proficiency  osha 30 hour training
6701,Dewi Sihombing,Accounting,2015,External Auditor,PwC,"MYOB, IFRS, Risk Management",Internal Control Review,Data Analytics for Accounting Certificate,accounting_club | pumun | puma_accounting,seorang external auditor lulusan accounting dengan pengalaman di pwc dan sertifikasi data analytics for accounting certificate
6702,Siti Ramadhan,Accounting,2018,Tax Specialist,KPMG,"Data Analysis for Accounting, Risk Management, Cost Accounting",Annual Financial Audit,Tax Brevet A & B,pufa_business | debate_club,karir di bidang tax specialist dengan latar belakang pendidikan accounting dan aktif di pufa business   debate club
